candidate_label,event_budget_label,r_on_hz,N,w,T,seed,worst_query_balanced_accuracy,exact_trial_accuracy,mean_balanced_accuracy,per_query_balanced_accuracy,window_activity_fraction,minimum_window_activity_fraction,oracle_schedule_exact,mean_input_events,neuron_update_proxy,run_dir
event8_N120_w12,event8,990.0,120,12,70,3313,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,True,7.99521484375,8400,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event8\K5\T70_N120_w12_seed3313
event8_N120_w12,event8,990.0,120,12,70,3323,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,True,7.99833984375,8400,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event8\K5\T70_N120_w12_seed3323
event8_N240_w4,event8,990.0,240,4,30,3301,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,True,7.99853515625,7200,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event8\K5\T30_N240_w4_seed3301
event8_N240_w4,event8,990.0,240,4,30,3313,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,True,7.99521484375,7200,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event8\K5\T30_N240_w4_seed3313
event8_N240_w4,event8,990.0,240,4,30,3323,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,True,7.99833984375,7200,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event8\K5\T30_N240_w4_seed3323
event8_N240_w6,event8,990.0,240,6,40,3301,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,True,7.99853515625,9600,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event8\K5\T40_N240_w6_seed3301
event8_N240_w6,event8,990.0,240,6,40,3313,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,True,7.99521484375,9600,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event8\K5\T40_N240_w6_seed3313
event8_N240_w6,event8,990.0,240,6,40,3323,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,True,7.99833984375,9600,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event8\K5\T40_N240_w6_seed3323
event8_N240_w8,event8,990.0,240,8,50,3301,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,True,7.99853515625,12000,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event8\K5\T50_N240_w8_seed3301
event8_N240_w8,event8,990.0,240,8,50,3313,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,True,7.99521484375,12000,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event8\K5\T50_N240_w8_seed3313
event8_N240_w8,event8,990.0,240,8,50,3323,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,True,7.99833984375,12000,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event8\K5\T50_N240_w8_seed3323
event8_N240_w12,event8,990.0,240,12,70,3301,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,True,7.99853515625,16800,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event8\K5\T70_N240_w12_seed3301
event8_N240_w12,event8,990.0,240,12,70,3313,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,True,7.99521484375,16800,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event8\K5\T70_N240_w12_seed3313
event8_N240_w12,event8,990.0,240,12,70,3323,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,True,7.99833984375,16800,runs\exploratory\mixedop_rate_alignment_repair_v1\stage_a_oracle\shared_temporal_oracle\event8\K5\T70_N240_w12_seed3323
