source_run,setting,readout_type,condition,seed,intervention,original_worst,intervention_worst,worst_drop,original_exact,intervention_exact,exact_drop
runs/exploratory/xor_delay_control_matrix_v1/XOR_scalar_h50_K4_sw10_seed1_thr0.3_obsall_time_rolinear,stress,linear,scalar,1,late_window_probe,0.6779999732971191,0.4320000112056732,0.24599996209144592,0.17399999499320984,0.04600000008940697,0.12799999490380287
runs/exploratory/xor_delay_control_matrix_v1/XOR_scalar_h50_K4_sw10_seed2_thr0.3_obsall_time_rolinear,stress,linear,scalar,2,late_window_probe,0.6259999871253967,0.4659999907016754,0.1599999964237213,0.23600000143051147,0.041999999433755875,0.1940000019967556
runs/exploratory/xor_delay_control_matrix_v1/XOR_scalar_h50_K4_sw10_seed3_thr0.3_obsall_time_rolinear,stress,linear,scalar,3,late_window_probe,0.6880000233650208,0.4880000054836273,0.20000001788139343,0.24400000274181366,0.05000000074505806,0.1940000019967556
runs/exploratory/xor_delay_control_matrix_v1/XOR_scalar_h50_K4_sw10_seed42_thr0.3_obsall_time_rolinear,stress,linear,scalar,42,late_window_probe,0.6200000047683716,0.4480000138282776,0.171999990940094,0.2199999988079071,0.0560000017285347,0.1639999970793724
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h35_K3_sw10_seed0_thr0.3_obsall_time,primary,mlp,w_and_d,0,late_window_probe,0.8339999914169312,0.5199999809265137,0.3140000104904175,0.6940000057220459,0.14000000059604645,0.5540000051259995
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h35_K3_sw10_seed0_thr0.3_obsall_time,primary,mlp,w_and_d,0,shuffle_learned_delays,0.8339999914169312,0.5759999752044678,0.2580000162124634,0.6940000057220459,0.414000004529953,0.2800000011920929
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h35_K3_sw10_seed0_thr0.3_obsall_time_rolinear,primary,linear,w_and_d,0,late_window_probe,0.6620000004768372,0.3400000035762787,0.32199999690055847,0.4480000138282776,0.1120000034570694,0.3360000103712082
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h35_K3_sw10_seed0_thr0.3_obsall_time_rolinear,primary,linear,w_and_d,0,shuffle_learned_delays,0.6620000004768372,0.5379999876022339,0.12400001287460327,0.4480000138282776,0.18799999356269836,0.2600000202655792
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h35_K3_sw10_seed1_thr0.3_obsall_time,primary,mlp,w_and_d,1,late_window_probe,0.6700000166893005,0.5019999742507935,0.16800004243850708,0.5580000281333923,0.13199999928474426,0.42600002884864807
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h35_K3_sw10_seed1_thr0.3_obsall_time,primary,mlp,w_and_d,1,shuffle_learned_delays,0.6700000166893005,0.47999998927116394,0.1900000274181366,0.5580000281333923,0.18400000035762787,0.37400002777576447
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h35_K3_sw10_seed1_thr0.3_obsall_time_rolinear,primary,linear,w_and_d,1,late_window_probe,0.6359999775886536,0.5019999742507935,0.1340000033378601,0.4320000112056732,0.12200000137090683,0.3100000098347664
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h35_K3_sw10_seed1_thr0.3_obsall_time_rolinear,primary,linear,w_and_d,1,shuffle_learned_delays,0.6359999775886536,0.5820000171661377,0.05399996042251587,0.4320000112056732,0.2939999997615814,0.1380000114440918
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h35_K3_sw10_seed2_thr0.3_obsall_time,primary,mlp,w_and_d,2,late_window_probe,0.7940000295639038,0.49399998784065247,0.30000004172325134,0.6660000085830688,0.14399999380111694,0.5220000147819519
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h35_K3_sw10_seed2_thr0.3_obsall_time,primary,mlp,w_and_d,2,shuffle_learned_delays,0.7940000295639038,0.7120000123977661,0.0820000171661377,0.6660000085830688,0.4740000069141388,0.19200000166893005
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h35_K3_sw10_seed2_thr0.3_obsall_time_rolinear,primary,linear,w_and_d,2,late_window_probe,0.6700000166893005,0.49399998784065247,0.17600002884864807,0.44200000166893005,0.1679999977350235,0.27400000393390656
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h35_K3_sw10_seed2_thr0.3_obsall_time_rolinear,primary,linear,w_and_d,2,shuffle_learned_delays,0.6700000166893005,0.6259999871253967,0.04400002956390381,0.44200000166893005,0.2800000011920929,0.16200000047683716
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h35_K3_sw10_seed3_thr0.3_obsall_time,primary,mlp,w_and_d,3,late_window_probe,0.7699999809265137,0.4959999918937683,0.27399998903274536,0.699999988079071,0.11999999731779099,0.5799999907612801
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h35_K3_sw10_seed3_thr0.3_obsall_time,primary,mlp,w_and_d,3,shuffle_learned_delays,0.7699999809265137,0.6019999980926514,0.1679999828338623,0.699999988079071,0.23600000143051147,0.46399998664855957
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h35_K3_sw10_seed3_thr0.3_obsall_time_rolinear,primary,linear,w_and_d,3,late_window_probe,0.6940000057220459,0.4959999918937683,0.1980000138282776,0.45399999618530273,0.10000000149011612,0.3539999946951866
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h35_K3_sw10_seed3_thr0.3_obsall_time_rolinear,primary,linear,w_and_d,3,shuffle_learned_delays,0.6940000057220459,0.5139999985694885,0.18000000715255737,0.45399999618530273,0.17800000309944153,0.2759999930858612
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h35_K3_sw10_seed42_thr0.3_obsall_time,primary,mlp,w_and_d,42,late_window_probe,0.7799999713897705,0.5139999985694885,0.265999972820282,0.6679999828338623,0.12800000607967377,0.5399999767541885
runs/exploratory/xor_delay_control_matrix_v1/XOR_wad_h35_K3_sw10_seed42_thr0.3_obsall_time,primary,mlp,w_and_d,42,shuffle_learned_delays,0.7799999713897705,0.7699999809265137,0.009999990463256836,0.6679999828338623,0.5519999861717224,0.11599999666213989
