run_id,op,train_mode,hidden_size,seed,delay_param_type,delay_step,fixed_delay_value,test_acc,best_val_acc,best_val_epoch,final_train_acc,final_val_acc,mean_hidden_spikes,throughput_K_per_spk,ops_per_neuron_per_ms,mean_active_hidden_fraction
step1_OR_weights_and_delays_sigmoid_h50_seed42,OR,weights_and_delays,50,42,sigmoid,1.0,,0.9860000014305115,0.994140625,169,0.98779296875,0.9901333451271057,41.0989990234375,0.024331492828565743,0.0004,0.3306400179862976
step1_OR_weights_only_sigmoid_h10_seed42,OR,weights_only,10,42,sigmoid,1.0,0.0,0.7559999823570251,0.7666015625,1,0.7473632805049419,0.7666015625,0.3240000009536743,3.0864197440017307,0.002,0.031599998474121094
step1_OR_weights_only_sigmoid_h20_seed42,OR,weights_only,20,42,sigmoid,1.0,0.0,0.7559999823570251,0.7666015625,12,0.7467773444950581,0.7666015625,3.1059999465942383,0.321957507145649,0.001,0.10275000333786011
step1_OR_weights_only_sigmoid_h50_seed42,OR,weights_only,50,42,sigmoid,1.0,0.0,0.7559999823570251,0.7666015625,10,0.7475097663700581,0.7666015625,2.9670000076293945,0.33704078106794166,0.0004,0.04496000334620476
step1_XNOR_delays_only_sigmoid_h10_seed42,XNOR,delays_only,10,42,sigmoid,1.0,,0.5170000195503235,0.5270743519067764,180,0.5304687507450581,0.5201373845338821,0.3140000104904175,3.1847132693981792,0.002,0.03070000186562538
step1_XNOR_delays_only_sigmoid_h20_seed42,XNOR,delays_only,20,42,sigmoid,1.0,,0.6169999837875366,0.6534213423728943,182,0.5902832038700581,0.619612067937851,1.5750000476837158,0.6349206156981752,0.001,0.06340000778436661
step1_XNOR_delays_only_sigmoid_h50_seed42,XNOR,delays_only,50,42,sigmoid,1.0,,0.6069999933242798,0.640625,82,0.597900390625,0.6023370176553726,2.5820000171661377,0.38729666667374596,0.0004,0.040059998631477356
step1_XNOR_weights_and_delays_sigmoid_h10_seed42,XNOR,weights_and_delays,10,42,sigmoid,1.0,,0.8460000157356262,0.8628771603107452,197,0.8654296882450581,0.850080817937851,4.804999828338623,0.20811655270043164,0.002,0.2578999996185303
step1_XNOR_weights_and_delays_sigmoid_h20_seed42,XNOR,weights_and_delays,20,42,sigmoid,1.0,,0.9330000281333923,0.9492524266242981,199,0.9396484382450581,0.9366581290960312,10.9350004196167,0.09144947065626657,0.001,0.2788500189781189
step1_XNOR_weights_and_delays_sigmoid_h50_seed42,XNOR,weights_and_delays,50,42,sigmoid,1.0,,0.9520000219345093,0.9631600230932236,174,0.957275390625,0.9609038233757019,19.615999221801758,0.050978794844596685,0.0004,0.21442002058029175
step1_XNOR_weights_only_sigmoid_h10_seed42,XNOR,weights_only,10,42,sigmoid,1.0,0.0,0.5270000100135803,0.5467066317796707,41,0.5354492198675871,0.5028286650776863,0.8790000081062317,1.137656417267228,0.002,0.07760000973939896
step1_XNOR_weights_only_sigmoid_h20_seed42,XNOR,weights_only,20,42,sigmoid,1.0,0.0,0.5799999833106995,0.5790678858757019,159,0.5711425803601742,0.5438779592514038,7.552999973297119,0.13239772322724752,0.001,0.21605001389980316
