estimator_id,delay_gradient_mode,delay_gradient_sigma,intervention_rank,granularity,delay_tying,independent_delay_parameters,perturbation_delay_steps,seed,raw_gradient_mean,raw_gradient_min,raw_gradient_max,mean_gradient_target_directed,target_directed_coordinate_fraction,nonzero_coordinate_fraction,gradient_norm,exact_interface_patterns,forward_record_sha256,updates,test_split_opened
gaussian_ste_s0p50,gaussian_ste,0.5,2,global,global,1,3.0,2539,-0.008858634158968925,-0.008858634158968925,-0.008858634158968925,True,1.0,1.0,0.008858634158968925,0,7bb18c9a45b3c6bc703b0d1a011c210254254aa21a8ad0ec9808daa6ef0c9bac,0,False
gaussian_ste_s0p50,gaussian_ste,0.5,2,global,global,1,3.0,2551,-0.00904825422912836,-0.00904825422912836,-0.00904825422912836,True,1.0,1.0,0.00904825422912836,0,871bf310077702dcd26e04cdbd9b32f10291a4a242a03d7297e4e048a58532af,0,False
gaussian_ste_s0p50,gaussian_ste,0.5,2,global,global,1,3.0,2579,-0.009501482360064983,-0.009501482360064983,-0.009501482360064983,True,1.0,1.0,0.009501482360064983,0,05d0d66945271e9f67582173e3f931f80a75bd351d39d6db4202cc86224c388a,0,False
gaussian_ste_s0p50,gaussian_ste,0.5,2,global,global,1,5.0,2503,0.0008313948637805879,0.0008313948637805879,0.0008313948637805879,True,1.0,1.0,0.0008313948637805879,0,871319ce6dd04193d50f062af62e6d1b894175587b491a8de14199ef9d7a9f75,0,False
gaussian_ste_s0p50,gaussian_ste,0.5,2,global,global,1,5.0,2521,4.3025393097195774e-05,4.3025393097195774e-05,4.3025393097195774e-05,True,1.0,1.0,4.3025393097195774e-05,0,3ee47cf1edc1477fc68ec5f9b662859ea113a5befc3f7d4d6ccf691241dcc534,0,False
gaussian_ste_s0p50,gaussian_ste,0.5,2,global,global,1,5.0,2539,-0.00034294152283109725,-0.00034294152283109725,-0.00034294152283109725,False,0.0,1.0,0.00034294152283109725,0,4e0d766bc4db33e2aaaa812e8630fdbfde7d1b7a3b81635fcadc7550d48f9f48,0,False
gaussian_ste_s0p50,gaussian_ste,0.5,2,global,global,1,5.0,2551,3.25732835335657e-05,3.25732835335657e-05,3.25732835335657e-05,True,1.0,1.0,3.25732835335657e-05,0,de2b17c8a956a9ce1746da7bc456c4f760b245508436af2bd652bf1d4d7ebe3e,0,False
gaussian_ste_s0p50,gaussian_ste,0.5,2,global,global,1,5.0,2579,0.0005688996170647442,0.0005688996170647442,0.0005688996170647442,True,1.0,1.0,0.0005688996170647442,0,8db5a2cf8b6dd11052cf1eb3fe50fffcc2192d74b4f04fe3f85c4e8c0cab4f99,0,False
gaussian_ste_s0p50,gaussian_ste,0.5,2,per_hidden,post_neuron,16,3.0,2503,-0.0008313360935972014,-0.0023115873336791992,0.0005216944846324623,True,0.9375,1.0,0.0043410783709901335,0,dc39ec1223655fa33bff11fb4597aee825f695181608c44cbeb438f0741bc9cf,0,False
gaussian_ste_s0p50,gaussian_ste,0.5,2,per_hidden,post_neuron,16,3.0,2521,-0.0006086446562107994,-0.0025016162544488907,0.0016396123683080077,True,0.8125,1.0,0.004265478147231624,0,d80e98cf1cf5b1f2bdf4e1117e10e300dfb64e26f489fd9fe129e02699e5f718,0,False
gaussian_ste_s0p50,gaussian_ste,0.5,2,per_hidden,post_neuron,16,3.0,2539,-0.0005536646706332249,-0.002819695044308901,0.001456708530895412,True,0.6875,1.0,0.005081480546230288,0,7bb18c9a45b3c6bc703b0d1a011c210254254aa21a8ad0ec9808daa6ef0c9bac,0,False
gaussian_ste_s0p50,gaussian_ste,0.5,2,per_hidden,post_neuron,16,3.0,2551,-0.0005655158738591126,-0.0020255688577890396,0.0014325013617053628,True,0.875,1.0,0.0037730454959432084,0,871bf310077702dcd26e04cdbd9b32f10291a4a242a03d7297e4e048a58532af,0,False
gaussian_ste_s0p50,gaussian_ste,0.5,2,per_hidden,post_neuron,16,3.0,2579,-0.0005938426565990085,-0.002062974264845252,0.00014108858886174858,True,0.875,1.0,0.0034407577495193424,0,05d0d66945271e9f67582173e3f931f80a75bd351d39d6db4202cc86224c388a,0,False
gaussian_ste_s0p50,gaussian_ste,0.5,2,per_hidden,post_neuron,16,5.0,2503,5.196217983893803e-05,-0.00015506931231357157,0.000391194480471313,True,0.4375,1.0,0.0006445398946190186,0,871319ce6dd04193d50f062af62e6d1b894175587b491a8de14199ef9d7a9f75,0,False
gaussian_ste_s0p50,gaussian_ste,0.5,2,per_hidden,post_neuron,16,5.0,2521,2.689087409635249e-06,-0.00011358328629285097,0.00016772342496551573,True,0.375,1.0,0.0003380214802240553,0,3ee47cf1edc1477fc68ec5f9b662859ea113a5befc3f7d4d6ccf691241dcc534,0,False
gaussian_ste_s0p50,gaussian_ste,0.5,2,per_hidden,post_neuron,16,5.0,2539,-2.143384487851563e-05,-0.00016327892080880702,0.0003584319492802024,False,0.4375,1.0,0.0005060306772773667,0,4e0d766bc4db33e2aaaa812e8630fdbfde7d1b7a3b81635fcadc7550d48f9f48,0,False
gaussian_ste_s0p50,gaussian_ste,0.5,2,per_hidden,post_neuron,16,5.0,2551,2.0358281744847773e-06,-0.0002545496099628508,0.00014843966346234083,True,0.625,1.0,0.000415738192961831,0,de2b17c8a956a9ce1746da7bc456c4f760b245508436af2bd652bf1d4d7ebe3e,0,False
gaussian_ste_s0p50,gaussian_ste,0.5,2,per_hidden,post_neuron,16,5.0,2579,3.555622637652078e-05,-0.00016005567158572376,0.00034829499782063067,True,0.5,1.0,0.0005246361771036124,0,8db5a2cf8b6dd11052cf1eb3fe50fffcc2192d74b4f04fe3f85c4e8c0cab4f99,0,False
gaussian_ste_s0p75,gaussian_ste,0.75,3,global,global,1,3.0,2503,-0.01502448134124279,-0.01502448134124279,-0.01502448134124279,True,1.0,1.0,0.01502448134124279,0,dc39ec1223655fa33bff11fb4597aee825f695181608c44cbeb438f0741bc9cf,0,False
gaussian_ste_s0p75,gaussian_ste,0.75,3,global,global,1,3.0,2521,-0.010996019467711449,-0.010996019467711449,-0.010996019467711449,True,1.0,1.0,0.010996019467711449,0,d80e98cf1cf5b1f2bdf4e1117e10e300dfb64e26f489fd9fe129e02699e5f718,0,False
gaussian_ste_s0p75,gaussian_ste,0.75,3,global,global,1,3.0,2539,-0.010030325502157211,-0.010030325502157211,-0.010030325502157211,True,1.0,1.0,0.010030325502157211,0,7bb18c9a45b3c6bc703b0d1a011c210254254aa21a8ad0ec9808daa6ef0c9bac,0,False
gaussian_ste_s0p75,gaussian_ste,0.75,3,global,global,1,3.0,2551,-0.010035926476120949,-0.010035926476120949,-0.010035926476120949,True,1.0,1.0,0.010035926476120949,0,871bf310077702dcd26e04cdbd9b32f10291a4a242a03d7297e4e048a58532af,0,False
gaussian_ste_s0p75,gaussian_ste,0.75,3,global,global,1,3.0,2579,-0.010813668370246887,-0.010813668370246887,-0.010813668370246887,True,1.0,1.0,0.010813668370246887,0,05d0d66945271e9f67582173e3f931f80a75bd351d39d6db4202cc86224c388a,0,False
gaussian_ste_s0p75,gaussian_ste,0.75,3,global,global,1,5.0,2503,0.0011769119882956147,0.0011769119882956147,0.0011769119882956147,True,1.0,1.0,0.0011769119882956147,0,871319ce6dd04193d50f062af62e6d1b894175587b491a8de14199ef9d7a9f75,0,False
gaussian_ste_s0p75,gaussian_ste,0.75,3,global,global,1,5.0,2521,0.00019734739908017218,0.00019734739908017218,0.00019734739908017218,True,1.0,1.0,0.00019734739908017218,0,3ee47cf1edc1477fc68ec5f9b662859ea113a5befc3f7d4d6ccf691241dcc534,0,False
gaussian_ste_s0p75,gaussian_ste,0.75,3,global,global,1,5.0,2539,-0.00024521787418052554,-0.00024521787418052554,-0.00024521787418052554,False,0.0,1.0,0.00024521787418052554,0,4e0d766bc4db33e2aaaa812e8630fdbfde7d1b7a3b81635fcadc7550d48f9f48,0,False
gaussian_ste_s0p75,gaussian_ste,0.75,3,global,global,1,5.0,2551,0.00010450347326695919,0.00010450347326695919,0.00010450347326695919,True,1.0,1.0,0.00010450347326695919,0,de2b17c8a956a9ce1746da7bc456c4f760b245508436af2bd652bf1d4d7ebe3e,0,False
gaussian_ste_s0p75,gaussian_ste,0.75,3,global,global,1,5.0,2579,0.0008080279803834856,0.0008080279803834856,0.0008080279803834856,True,1.0,1.0,0.0008080279803834856,0,8db5a2cf8b6dd11052cf1eb3fe50fffcc2192d74b4f04fe3f85c4e8c0cab4f99,0,False
gaussian_ste_s0p75,gaussian_ste,0.75,3,per_hidden,post_neuron,16,3.0,2503,-0.0009390301615894714,-0.0026683334726840258,0.0005758045590482652,True,0.9375,1.0,0.0049589786433170534,0,dc39ec1223655fa33bff11fb4597aee825f695181608c44cbeb438f0741bc9cf,0,False
