cell,hidden_size,seed,final_category,checkpoint,A,B,pattern,target_class,logit,prediction,classification_correct,output_class0_spikes,output_class1_spikes,total_output_spikes,interface_status,valid_one_target_spike,target_time,target_time_correct_spike,target_time_wrong_spike,correct_spike_times,wrong_spike_times,target_time_correct_voltage,target_time_wrong_voltage,correct_threshold_margin,wrong_suppression_margin,class_voltage_separation,correct_peak_time,wrong_peak_time,correct_peak_voltage,wrong_peak_voltage,correct_peak_threshold_margin,wrong_global_suppression_margin,target_time_correct_current,target_time_wrong_current,hidden_spikes_total,active_hidden_neurons,causal_hidden_spikes_at_t_minus_1
h12_seed211,12,211,collision,last,1,0,10,1,1.0,1,True,0.0,1.0,1.0,valid,True,11,1.0,0.0,11,,0.1768767386674881,-0.18628455698490143,0.1468767386674881,0.21628455698490143,0.3631612956523895,11,0,0.1768767386674881,0.0,0.1468767386674881,0.03,1.8586797714233398,-1.9575402736663818,3.0,3,3.0
h12_seed211,12,211,collision,last,0,1,01,1,0.0,0,False,1.0,1.0,2.0,collision,False,11,1.0,0.0,11,10,0.2180747538805008,0.0,0.1880747538805008,0.03,0.2180747538805008,11,10,0.2180747538805008,0.04165411368012428,0.1880747538805008,-0.011654113680124284,2.5834333896636963,-0.581464409828186,5.0,5,4.0
h12_seed211,12,211,collision,last,1,1,11,0,0.0,0,True,1.0,1.0,2.0,collision,False,11,1.0,0.0,11,10,0.05765027552843094,0.0,0.02765027552843094,0.03,0.05765027552843094,11,10,0.05765027552843094,0.12855090200901031,0.02765027552843094,-0.09855090200901032,0.4377153217792511,-0.32252341508865356,3.0,3,1.0
h12_seed509,12,509,successful,best,0,0,00,0,-1.0,0,True,1.0,0.0,1.0,valid,True,11,1.0,0.0,11,,0.1210608035326004,-0.06435606628656387,0.0910608035326004,0.09435606628656387,0.18541686981916428,11,0,0.1210608035326004,0.0,0.0910608035326004,0.03,1.272147297859192,-0.6762750148773193,1.0,1,1.0
h12_seed509,12,509,successful,best,1,0,10,1,1.0,1,True,0.0,1.0,1.0,valid,True,11,1.0,0.0,11,,0.030251210555434227,-0.15969766676425934,0.0002512105554342281,0.18969766676425934,0.18994887731969357,11,0,0.030251210555434227,0.0,0.0002512105554342281,0.03,0.3178898096084595,-1.6781562566757202,1.0,1,1.0
h12_seed509,12,509,successful,best,0,1,01,1,1.0,1,True,0.0,1.0,1.0,valid,True,11,1.0,0.0,11,,0.03561180457472801,-0.10118149220943451,0.005611804574728013,0.1311814922094345,0.13679329678416252,11,0,0.03561180457472801,0.0,0.005611804574728013,0.03,0.37422069907188416,-1.063248872756958,1.0,1,1.0
h12_seed509,12,509,successful,best,1,1,11,0,-1.0,0,True,1.0,0.0,1.0,valid,True,11,1.0,0.0,11,,0.11640791594982147,-0.08060495555400848,0.08640791594982147,0.11060495555400848,0.19701287150382996,11,0,0.11640791594982147,0.0,0.08640791594982147,0.03,1.2232531309127808,-0.8470237255096436,1.0,1,1.0
h12_seed509,12,509,successful,last,0,0,00,0,-1.0,0,True,1.0,0.0,1.0,valid,True,11,1.0,0.0,11,,0.1210608035326004,-0.06435606628656387,0.0910608035326004,0.09435606628656387,0.18541686981916428,11,0,0.1210608035326004,0.0,0.0910608035326004,0.03,1.272147297859192,-0.6762750148773193,1.0,1,1.0
h12_seed509,12,509,successful,last,1,0,10,1,1.0,1,True,0.0,1.0,1.0,valid,True,11,1.0,0.0,11,,0.030251210555434227,-0.15969766676425934,0.0002512105554342281,0.18969766676425934,0.18994887731969357,11,0,0.030251210555434227,0.0,0.0002512105554342281,0.03,0.3178898096084595,-1.6781562566757202,1.0,1,1.0
h12_seed509,12,509,successful,last,0,1,01,1,1.0,1,True,0.0,1.0,1.0,valid,True,11,1.0,0.0,11,,0.03561180457472801,-0.10118149220943451,0.005611804574728013,0.1311814922094345,0.13679329678416252,11,0,0.03561180457472801,0.0,0.005611804574728013,0.03,0.37422069907188416,-1.063248872756958,1.0,1,1.0
