complete,convergence_step,direct_delay_supervision,final_delay_steps,final_loss,final_nominal_delay_error_steps,final_normalized_trace_w1_steps,final_output_trace_mass,final_raw_gradient,final_trace_centroid,final_trace_centroid_error_steps,initial_delay_jacobian,initial_delay_space_gradient,initial_delay_steps,initial_normalized_trace_w1_steps,initial_output_trace_mass,initial_parameter_value,initial_raw_gradient,initial_trace_centroid,initialization_label_raw,learning_rate,maximum_hard_spike_count,objective,objective_role,optimizer_steps,parameterization,path,path_valid,protocol_id,recovered_within_0p1_w1_step,stochastic_seed,target_arrival_step,target_nominal_delay_steps,target_trace_centroid,test_split_opened
True,,False,1.9905215501785278,0.7298956513404846,0.9905215501785278,0.6768014430999756,0.6674290299415588,-0.008213458582758904,9.012981414794922,0.6768026351928711,1.0,0.053471583873033524,7.046376705169678,3.8979721069335938,0.4485114812850952,7.0463766238230585,0.053471583873033524,12.234150886535645,2.0,0.05,0.0,symmetric_kernel_alignment,candidate,200,direct,lif_membrane,True,delay_soft_trace_credit_level0c_v1,False,,4,1.0,8.33617877960205,False
True,,False,2.0114283561706543,0.7299392223358154,1.0114283561706543,0.6908326745033264,0.6667287945747375,0.01062198355793953,9.02701187133789,0.6908330917358398,1.0,0.07001984864473343,7.856110095977783,4.369225978851318,0.40177449584007263,7.856110320303268,0.07001984864473343,12.705405235290527,4.0,0.05,0.0,symmetric_kernel_alignment,candidate,200,direct,lif_membrane,True,delay_soft_trace_credit_level0c_v1,False,,4,1.0,8.33617877960205,False
True,108,False,6.034634590148926,0.5286707282066345,1.0346345901489258,0.6415972709655762,0.5016058087348938,0.010280135087668896,11.622200012207031,0.6415977478027344,1.0,-0.08887973427772522,0.1438896805047989,3.2454328536987305,0.7233439683914185,0.14388967969673247,-0.08887973427772522,7.735168933868408,-4.0,0.05,0.0,symmetric_kernel_alignment,candidate,200,direct,lif_membrane,True,delay_soft_trace_credit_level0c_v1,False,,8,5.0,10.980602264404297,False
True,88,False,6.009207248687744,0.5284100770950317,1.0092072486877441,0.6277047991752625,0.5029337406158447,0.010223237797617912,11.608307838439941,0.6277055740356445,1.0,-0.08830417692661285,0.953623354434967,2.6780600547790527,0.7001349925994873,0.9536233761769404,-0.08830417692661285,8.302542686462402,-2.0,0.05,0.0,symmetric_kernel_alignment,candidate,200,direct,lif_membrane,True,delay_soft_trace_credit_level0c_v1,False,,8,5.0,10.980602264404297,False
True,17,False,6.002167701721191,0.5283383131027222,1.0021677017211914,0.6238720417022705,0.5033014416694641,0.010207580402493477,11.604475021362305,0.6238727569580078,1.0,-0.041251759976148605,4.0,0.6383301615715027,0.5934302806854248,4.0,-0.041251759976148605,10.342273712158203,0.0,0.05,0.0,symmetric_kernel_alignment,candidate,200,direct,lif_membrane,True,delay_soft_trace_credit_level0c_v1,False,,8,5.0,10.980602264404297,False
True,,False,5.993598937988281,0.5283981561660767,0.9935989379882812,0.618335485458374,0.5037171244621277,-0.012809423729777336,11.598937034606934,0.6183347702026367,1.0,0.02599123679101467,7.046376705169678,1.2535488605499268,0.4485114812850952,7.0463766238230585,0.02599123679101467,12.234150886535645,2.0,0.05,0.0,symmetric_kernel_alignment,candidate,200,direct,lif_membrane,True,delay_soft_trace_credit_level0c_v1,False,,8,5.0,10.980602264404297,False
True,,False,5.998067855834961,0.5283406972885132,0.9980678558349609,0.6213766932487488,0.5035059452056885,-0.012819457799196243,11.601981163024902,0.6213788986206055,1.0,0.033169154077768326,7.856110095977783,1.724802851676941,0.40177449584007263,7.856110320303268,0.033169154077768326,12.705405235290527,4.0,0.05,0.0,symmetric_kernel_alignment,candidate,200,direct,lif_membrane,True,delay_soft_trace_credit_level0c_v1,False,,8,5.0,10.980602264404297,False
True,151,False,7.593185901641846,0.41285136342048645,0.5931859016418457,0.3306874632835388,0.4169502258300781,-0.012560226023197174,12.540803909301758,0.3306856155395508,1.0,-0.10121852904558182,0.1438896805047989,4.474946975708008,0.7233439683914185,0.14388967969673247,-0.10121852904558182,7.735168933868408,-4.0,0.05,0.0,symmetric_kernel_alignment,candidate,200,direct,lif_membrane,True,delay_soft_trace_credit_level0c_v1,False,,10,7.0,12.210118293762207,False
True,133,False,7.765590190887451,0.4106353223323822,0.7655901908874512,0.4372337758541107,0.4069992005825043,-0.013152729719877243,12.64735221862793,0.43723392486572266,1.0,-0.09960603713989258,0.953623354434967,3.9075746536254883,0.7001349925994873,0.9536233761769404,-0.09960603713989258,8.302542686462402,-2.0,0.05,0.0,symmetric_kernel_alignment,candidate,200,direct,lif_membrane,True,delay_soft_trace_credit_level0c_v1,False,,10,7.0,12.210118293762207,False
True,63,False,8.0,0.4074512720108032,1.0,0.5907449722290039,0.39346927404403687,0.0,12.800862312316895,0.5907440185546875,1.0,-0.07949798554182053,4.0,1.8678443431854248,0.5934302806854248,4.0,-0.07949798554182053,10.342273712158203,0.0,0.05,0.0,symmetric_kernel_alignment,candidate,200,direct,lif_membrane,True,delay_soft_trace_credit_level0c_v1,False,,10,7.0,12.210118293762207,False
