K,accuracy,arrival_auxiliary_weight,arrival_condition,balanced_accuracy,checkpoint_selection,collision_rate,complete,condition,correct_target_time_rate,delay_learning_rate,delay_tying,encoding,exact_interface_completion,exact_target_spike_train_matches,exact_truth_table_completion,final_delay_fraction_within_tolerance,final_delay_max_error_steps,final_delay_max_steps,final_delay_mean_steps,final_delay_min_steps,fixed_delay_steps,full_batch_updates,granularity,hidden_active_pattern_count,hidden_neurons,independent_delay_parameters,initial_delay_mean_steps,initial_raw,initial_task_arrival_gradient_conflict_fraction,initial_total_gradient_correct_coordinate_fraction,initial_total_gradient_nonzero_coordinate_fraction,initial_total_gradient_norm,input_events_per_trial,interface_pass,learned_delay,learned_delay_pass,mean_output_spikes_per_trial,operation,protocol_id,seed,silent_rate,stage,target_delay_steps,target_output_step,test_split_opened,weight_learning_rate
1,1.0,0.01,scaffold,1.0,final_only,0.0,True,learned_delay,1.0,0.01,post_neuron,single_event,True,4,True,0.8125,0.21977949142456055,3.9995365142822266,3.945734739303589,3.7802205085754395,,500,per_hidden_neuron,4,16,16,0.953623354434967,-2.0,0.4375,0.9375,1.0,0.007315189111977816,2,True,True,False,1.0,XOR,xor_delay_granularity_level1b_v1,811,0.0,stage_a,4.0,15,False,0.01
1,1.0,0.01,scaffold,1.0,final_only,0.0,True,learned_delay,1.0,0.01,post_neuron,single_event,True,4,True,0.875,0.14100050926208496,4.0000505447387695,3.962311267852783,3.858999490737915,,500,per_hidden_neuron,4,16,16,0.953623354434967,-2.0,0.25,0.875,1.0,0.008835114538669586,2,True,True,False,1.0,XOR,xor_delay_granularity_level1b_v1,919,0.0,stage_a,4.0,15,False,0.01
1,1.0,0.01,scaffold,1.0,final_only,0.0,True,learned_delay,1.0,0.01,post_neuron,single_event,True,4,True,0.9375,0.22029566764831543,4.004170894622803,3.972233533859253,3.7797043323516846,,500,per_hidden_neuron,4,16,16,0.953623354434967,-2.0,0.3125,0.9375,1.0,0.008264098316431046,2,True,True,False,1.0,XOR,xor_delay_granularity_level1b_v1,1021,0.0,stage_a,4.0,15,False,0.01
1,1.0,0.01,scaffold,1.0,final_only,0.0,True,learned_delay,1.0,0.01,post_neuron,single_event,True,4,True,0.8125,0.4293942451477051,4.119675636291504,4.012936115264893,3.570605754852295,,500,per_hidden_neuron,4,16,16,7.0463762283325195,2.0,0.5625,1.0,1.0,0.006231957580894232,2,True,True,False,1.0,XOR,xor_delay_granularity_level1b_v1,607,0.0,stage_a,4.0,15,False,0.01
1,1.0,0.01,scaffold,1.0,final_only,0.0,True,learned_delay,1.0,0.01,post_neuron,single_event,True,4,True,0.75,0.18978643417358398,4.093143939971924,3.962911605834961,3.810213565826416,,500,per_hidden_neuron,4,16,16,7.0463762283325195,2.0,0.4375,1.0,1.0,0.006394155323505402,2,True,True,False,1.0,XOR,xor_delay_granularity_level1b_v1,709,0.0,stage_a,4.0,15,False,0.01
1,1.0,0.01,scaffold,1.0,final_only,0.0,True,learned_delay,1.0,0.01,post_neuron,single_event,True,4,True,1.0,0.019526004791259766,4.011657238006592,3.9992668628692627,3.9804739952087402,,500,per_hidden_neuron,4,16,16,7.0463762283325195,2.0,0.4375,1.0,1.0,0.006981749553233385,2,True,True,True,1.0,XOR,xor_delay_granularity_level1b_v1,811,0.0,stage_a,4.0,15,False,0.01
1,1.0,0.01,scaffold,1.0,final_only,0.0,True,learned_delay,1.0,0.01,post_neuron,single_event,True,4,True,1.0,0.05234813690185547,4.020801067352295,3.999629259109497,3.9476518630981445,,500,per_hidden_neuron,4,16,16,7.0463762283325195,2.0,0.75,1.0,1.0,0.006075290497392416,2,True,True,True,1.0,XOR,xor_delay_granularity_level1b_v1,919,0.0,stage_a,4.0,15,False,0.01
1,1.0,0.01,scaffold,1.0,final_only,0.0,True,learned_delay,1.0,0.01,post_neuron,single_event,True,4,True,1.0,0.05083131790161133,4.050831317901611,3.998418092727661,3.968097686767578,,500,per_hidden_neuron,4,16,16,7.0463762283325195,2.0,0.1875,0.9375,1.0,0.006412988528609276,2,True,True,False,1.0,XOR,xor_delay_granularity_level1b_v1,1021,0.0,stage_a,4.0,15,False,0.01
1,0.75,0.0,task_only,0.75,final_only,0.25,True,learned_delay,0.5,0.01,pair,single_event,False,1,False,0.015625,3.8340516090393066,4.230556488037109,1.9655177593231201,0.16594840586185455,,500,per_synapse,4,16,64,0.953623354434967,-2.0,0.46875,0.53125,1.0,0.003595267655327916,2,False,True,False,1.25,XOR,xor_delay_granularity_level1b_v1,607,0.0,stage_a,4.0,15,False,0.01
1,0.75,0.0,task_only,0.75,final_only,0.0,True,learned_delay,0.0,0.01,pair,single_event,False,0,False,0.0,3.7040605545043945,3.445197582244873,1.7416157722473145,0.29593950510025024,,500,per_synapse,4,16,64,0.953623354434967,-2.0,0.578125,0.421875,1.0,0.0062402053736150265,2,False,True,False,0.75,XOR,xor_delay_granularity_level1b_v1,709,0.25,stage_a,4.0,15,False,0.01
1,0.75,0.0,task_only,0.75,final_only,0.0,True,learned_delay,0.0,0.01,pair,single_event,False,0,False,0.0,3.799527168273926,3.3690617084503174,1.7235257625579834,0.20047295093536377,,500,per_synapse,4,16,64,0.953623354434967,-2.0,0.546875,0.453125,1.0,0.004238684196025133,2,False,True,False,0.5,XOR,xor_delay_granularity_level1b_v1,811,0.5,stage_a,4.0,15,False,0.01
